,motif_address,motif_id,motif_n,total_gap,kink_factor,kink_std,intensity_kink,intensity_kink_std,white_noise,stimuli_path,id,SDoTMF,mean_SDoTMF
0,/mnt/cube/j8xing/starling_rhythm_mfdfa/data/s_b1555_22/motifs/motif24.wav,motif24,11,144000,1.0,4532.303458507606,1.0,0.20769424080831336,False,/mnt/cube/j8xing/starling_rhythm_mfdfa/data/TMF_ver/motif24_kink1.0_intensitykink1.0whiteNoiseFalse.wav,1,[57.42809540128883],57.42809540128883
0,/mnt/cube/j8xing/starling_rhythm_mfdfa/data/s_b1555_22/motifs/motif23.wav,motif23,11,144000,0.0,0.0,0.0,1.1102230246251565e-16,True,/mnt/cube/j8xing/starling_rhythm_mfdfa/data/TMF_ver/motif23_kink0.0_intensitykink0.0whiteNoiseTrue.wav,2,[31.949502730127406],31.949502730127406
0,/mnt/cube/j8xing/starling_rhythm_mfdfa/data/s_b1555_22/motifs/motif23.wav,motif23,11,144000,0.0,0.0,0.0,1.1102230246251565e-16,False,/mnt/cube/j8xing/starling_rhythm_mfdfa/data/TMF_ver/motif23_kink0.0_intensitykink0.0whiteNoiseFalse.wav,2,[9.687590761569252],9.687590761569252
0,/mnt/cube/j8xing/starling_rhythm_mfdfa/data/s_b1555_22/motifs/motif23.wav,motif23,11,144000,0.0,0.0,1.0,0.20769424080831336,True,/mnt/cube/j8xing/starling_rhythm_mfdfa/data/TMF_ver/motif23_kink0.0_intensitykink1.0whiteNoiseTrue.wav,2,[48.03054464420384],48.03054464420384
0,/mnt/cube/j8xing/starling_rhythm_mfdfa/data/s_b1555_22/motifs/motif23.wav,motif23,11,144000,0.0,0.0,1.0,0.20769424080831336,False,/mnt/cube/j8xing/starling_rhythm_mfdfa/data/TMF_ver/motif23_kink0.0_intensitykink1.0whiteNoiseFalse.wav,2,[37.25413935900451],37.25413935900451
0,/mnt/cube/j8xing/starling_rhythm_mfdfa/data/s_b1555_22/motifs/motif23.wav,motif23,11,144000,1.0,4532.303458507606,0.0,1.1102230246251565e-16,True,/mnt/cube/j8xing/starling_rhythm_mfdfa/data/TMF_ver/motif23_kink1.0_intensitykink0.0whiteNoiseTrue.wav,2,[118.8215419971516],118.8215419971516
0,/mnt/cube/j8xing/starling_rhythm_mfdfa/data/s_b1555_22/motifs/motif23.wav,motif23,11,144000,1.0,4532.303458507606,0.0,1.1102230246251565e-16,False,/mnt/cube/j8xing/starling_rhythm_mfdfa/data/TMF_ver/motif23_kink1.0_intensitykink0.0whiteNoiseFalse.wav,2,[9.517735506455452],9.517735506455452
0,/mnt/cube/j8xing/starling_rhythm_mfdfa/data/s_b1555_22/motifs/motif23.wav,motif23,11,144000,1.0,4532.303458507606,1.0,0.20769424080831336,True,/mnt/cube/j8xing/starling_rhythm_mfdfa/data/TMF_ver/motif23_kink1.0_intensitykink1.0whiteNoiseTrue.wav,2,[124.30944167988001],124.30944167988001
0,/mnt/cube/j8xing/starling_rhythm_mfdfa/data/s_b1555_22/motifs/motif23.wav,motif23,11,144000,1.0,4532.303458507606,1.0,0.20769424080831336,False,/mnt/cube/j8xing/starling_rhythm_mfdfa/data/TMF_ver/motif23_kink1.0_intensitykink1.0whiteNoiseFalse.wav,2,[23.841498135439338],23.841498135439338
0,/mnt/cube/j8xing/starling_rhythm_mfdfa/data/s_b1555_22/motifs/motif51.wav,motif51,11,144000,0.0,0.0,0.0,1.1102230246251565e-16,True,/mnt/cube/j8xing/starling_rhythm_mfdfa/data/TMF_ver/motif51_kink0.0_intensitykink0.0whiteNoiseTrue.wav,3,[31.405335008986828],31.405335008986828
0,/mnt/cube/j8xing/starling_rhythm_mfdfa/data/s_b1555_22/motifs/motif51.wav,motif51,11,144000,0.0,0.0,0.0,1.1102230246251565e-16,False,/mnt/cube/j8xing/starling_rhythm_mfdfa/data/TMF_ver/motif51_kink0.0_intensitykink0.0whiteNoiseFalse.wav,3,[3.5235513870986233],3.5235513870986233
0,/mnt/cube/j8xing/starling_rhythm_mfdfa/data/s_b1555_22/motifs/motif51.wav,motif51,11,144000,0.0,0.0,1.0,0.20769424080831336,True,/mnt/cube/j8xing/starling_rhythm_mfdfa/data/TMF_ver/motif51_kink0.0_intensitykink1.0whiteNoiseTrue.wav,3,[46.744477278046446],46.744477278046446
0,/mnt/cube/j8xing/starling_rhythm_mfdfa/data/s_b1555_22/motifs/motif51.wav,motif51,11,144000,0.0,0.0,1.0,0.20769424080831336,False,/mnt/cube/j8xing/starling_rhythm_mfdfa/data/TMF_ver/motif51_kink0.0_intensitykink1.0whiteNoiseFalse.wav,3,[7.345873587034315],7.345873587034315
0,/mnt/cube/j8xing/starling_rhythm_mfdfa/data/s_b1555_22/motifs/motif51.wav,motif51,11,144000,1.0,4532.303458507606,0.0,1.1102230246251565e-16,True,/mnt/cube/j8xing/starling_rhythm_mfdfa/data/TMF_ver/motif51_kink1.0_intensitykink0.0whiteNoiseTrue.wav,3,[85.17607951598059],85.17607951598059
0,/mnt/cube/j8xing/starling_rhythm_mfdfa/data/s_b1555_22/motifs/motif51.wav,motif51,11,144000,1.0,4532.303458507606,0.0,1.1102230246251565e-16,False,/mnt/cube/j8xing/starling_rhythm_mfdfa/data/TMF_ver/motif51_kink1.0_intensitykink0.0whiteNoiseFalse.wav,3,[22.206809816174285],22.206809816174285
0,/mnt/cube/j8xing/starling_rhythm_mfdfa/data/s_b1555_22/motifs/motif51.wav,motif51,11,144000,1.0,4532.303458507606,1.0,0.20769424080831336,True,/mnt/cube/j8xing/starling_rhythm_mfdfa/data/TMF_ver/motif51_kink1.0_intensitykink1.0whiteNoiseTrue.wav,3,[172.09979089617786],172.09979089617786
0,/mnt/cube/j8xing/starling_rhythm_mfdfa/data/s_b1555_22/motifs/motif51.wav,motif51,11,144000,1.0,4532.303458507606,1.0,0.20769424080831336,False,/mnt/cube/j8xing/starling_rhythm_mfdfa/data/TMF_ver/motif51_kink1.0_intensitykink1.0whiteNoiseFalse.wav,3,[18.814083084325855],18.814083084325855
0,/mnt/cube/j8xing/starling_rhythm_mfdfa/data/s_b1555_22/motifs/motif56.wav,motif56,11,144000,0.0,0.0,0.0,1.1102230246251565e-16,True,/mnt/cube/j8xing/starling_rhythm_mfdfa/data/TMF_ver/motif56_kink0.0_intensitykink0.0whiteNoiseTrue.wav,4,[37.17712709466334],37.17712709466334
0,/mnt/cube/j8xing/starling_rhythm_mfdfa/data/s_b1555_22/motifs/motif56.wav,motif56,11,144000,0.0,0.0,0.0,1.1102230246251565e-16,False,/mnt/cube/j8xing/starling_rhythm_mfdfa/data/TMF_ver/motif56_kink0.0_intensitykink0.0whiteNoiseFalse.wav,4,[-1.9138258564235469],-1.9138258564235469
0,/mnt/cube/j8xing/starling_rhythm_mfdfa/data/s_b1555_22/motifs/motif56.wav,motif56,11,144000,0.0,0.0,1.0,0.20769424080831336,True,/mnt/cube/j8xing/starling_rhythm_mfdfa/data/TMF_ver/motif56_kink0.0_intensitykink1.0whiteNoiseTrue.wav,4,[45.17265137774252],45.17265137774252
0,/mnt/cube/j8xing/starling_rhythm_mfdfa/data/s_b1555_22/motifs/motif56.wav,motif56,11,144000,0.0,0.0,1.0,0.20769424080831336,False,/mnt/cube/j8xing/starling_rhythm_mfdfa/data/TMF_ver/motif56_kink0.0_intensitykink1.0whiteNoiseFalse.wav,4,[12.278709159239735],12.278709159239735
0,/mnt/cube/j8xing/starling_rhythm_mfdfa/data/s_b1555_22/motifs/motif56.wav,motif56,11,144000,1.0,4532.303458507606,0.0,1.1102230246251565e-16,True,/mnt/cube/j8xing/starling_rhythm_mfdfa/data/TMF_ver/motif56_kink1.0_intensitykink0.0whiteNoiseTrue.wav,4,[121.5035946651252],121.5035946651252
0,/mnt/cube/j8xing/starling_rhythm_mfdfa/data/s_b1555_22/motifs/motif56.wav,motif56,11,144000,1.0,4532.303458507606,0.0,1.1102230246251565e-16,False,/mnt/cube/j8xing/starling_rhythm_mfdfa/data/TMF_ver/motif56_kink1.0_intensitykink0.0whiteNoiseFalse.wav,4,[6.080745169324445],6.080745169324445
0,/mnt/cube/j8xing/starling_rhythm_mfdfa/data/s_b1555_22/motifs/motif56.wav,motif56,11,144000,1.0,4532.303458507606,1.0,0.20769424080831336,True,/mnt/cube/j8xing/starling_rhythm_mfdfa/data/TMF_ver/motif56_kink1.0_intensitykink1.0whiteNoiseTrue.wav,4,[108.908017238352],108.908017238352
